,Thème,Question,A,B,C,D,Bonne réponse
🏦 Investissement & Bourse,Analyse fondamentale,"Dans un bilan comptable, l'équation fondamentale est :",Actif = Passif + Capitaux propres,Produits = Charges,CA = Prix × Quantité,Résultat = CA - Coûts,A
🏦 Investissement & Bourse,Analyse fondamentale,La méthode DCF (Discounted Cash Flow) actualise :,Les dividendes passés,Les flux de trésorerie futurs,Les cours historiques,Les dettes,B
🏦 Investissement & Bourse,Indices boursiers africains,Le BRVM couvre :,L'Afrique du Sud,"Les pays de l'UEMOA (Côte d'Ivoire, Sénégal...)",Le Maghreb,L'Égypte,B
🏦 Investissement & Bourse,Indices boursiers africains,Le JSE All Share Index est l'indice principal de :,Nairobi,Johannesburg,Lagos,Casablanca,B
🏦 Investissement & Bourse,Indices boursiers africains,L'indice EGX 30 représente la bourse de :,Tunis,Alger,Le Caire,Rabat,C
🏦 Investissement & Bourse,Indices boursiers africains,Le NSE All Share Index suit le marché de :,Ghana,Nigeria (Lagos),Kenya,Maroc,B
🏦 Investissement & Bourse,Indices boursiers africains,Le BRVM 10 est :,L'indice des 10 plus grosses capitalisations de la BRVM,Un fonds souverain,Une réglementation boursière,Un indice de volatilité,A
🏦 Investissement & Bourse,Indices boursiers africains,L'indice phare de Casablanca (Maroc) est :,MASI,NSE,EGX,BRVM,A
🏦 Investissement & Bourse,Indices boursiers africains,Le JSE inclut des géants comme :,Sonatrach,MTN Group et Naspers,Ecobank,Dangote Cement,B
🏦 Investissement & Bourse,Indices boursiers africains,L'indice NSE 30 au Nigeria :,Couvre 30 banques,Suit les 30 principales capitalisations,Est calculé à Abidjan,Exclut l'énergie,B
🏦 Investissement & Bourse,Indices boursiers africains,L'indice principal de la Bourse de Tunis est :,TUNINDEX,EGX 70,GSE Composite,SEMDEX,A
🏦 Investissement & Bourse,Indices boursiers africains,Dangote Cement est coté sur :,BRVM,JSE,NSE (Nigeri,Casablanca,C
🏦 Investissement & Bourse,Indices boursiers africains,Le SEMDEX est l'indice de :,Maurice,Madagascar,Mali,Mozambique,A
🏦 Investissement & Bourse,Indices boursiers africains,Le S&P Africa 40 :,Cible 40 entreprises africaines,Couvre uniquement l'Afrique du Sud,Est un indice obligataire,N'existe plus,A
🏦 Investissement & Bourse,Indices boursiers africains,L'indice principal de la Bourse de Nairobi est :,NSE 20,BRVM 10,EGX 100,MASI,A
🏦 Investissement & Bourse,Indices boursiers africains,L'UEMOA regroupe :,Les pays anglophones,Les pays d’Afrique centrale,Les pays d’Afrique de l’Ouest francophone,Les pays du Maghreb,C
🏦 Investissement & Bourse,Indices boursiers africains,Le plus ancien marché boursier d'Afrique est :,Le Caire (Égypte),Johannesburg (Afrique du Su,Lagos (Nigeri,Nairobi (Keny,B
🏦 Investissement & Bourse,Indices boursiers africains,Le GSE Composite (Ghana) :,Est dominé par le pétrole,Inclut des sociétés comme MTN Ghana,N'a que 5 valeurs,Est calculé à Paris,B
🏦 Investissement & Bourse,Indices boursiers africains,Le siège de la BRVM est à :,Dakar,Lomé,Abidjan,Cotonou,C
🏦 Investissement & Bourse,Indices boursiers africains,Sonatrach est :,Cotée à Alger,Cotée à Casablanca,Cotée à Tunis,Non cotée (étatique),D
🏦 Investissement & Bourse,Indices boursiers africains,Le Botswana Stock Exchange utilise l’indice :,BSE DCI,NSX,LUSE,MSM,A
🏦 Investissement & Bourse,Indices boursiers africains,La série FTSE/JSE Africa Index couvre :,Toute l’Afrique,Principalement l’Afrique du Sud,L’Afrique francophone,Les pays du Sahel,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le CAC 40 est l'indice phare de :,La Bourse de Londres,Euronext Paris,La Bourse de New York,La Bourse de Tokyo,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le S&P 500 représente principalement :,500 entreprises technologiques européennes,Les 500 plus grandes capitalisations américaines,Des obligations d'État américaines,Des matières premières,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le MSCI World Index suit des entreprises de :,Pays émergents uniquement,"Pays développés (Europe, Amérique du Nord, Asie Pacifique)",Afrique exclusivement,Secteur pétrolier,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le DAX 30 est l'indice principal de :,La Suisse,L'Allemagne,L'Italie,L'Espagne,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le Nikkei 225 est associé à :,La Bourse de Shanghai,La Bourse de Hong Kong,La Bourse de Tokyo,La Bourse de Singapour,C
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le FTSE 100 est calculé par :,Euronext,London Stock Exchange (LSE),NASDAQ,NYSE,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le NASDAQ Composite est fortement exposé à :,L'énergie,La technologie,L'agroalimentaire,L'automobile,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Un indice 'large' comme le MSCI World :,Couvre 10 entreprises maximum,Diversifie le risque géographique et sectoriel,Cible uniquement les petites entreprises,Exclut les États-Unis,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le Hang Seng Index représente le marché de :,Taïwan,Shanghai,Hong Kong,Singapour,C
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le Dow Jones Industrial Average (DJIA) :,Comprend 500 entreprises,Est pondéré par la capitalisation boursière,Inclut 30 blue-chips américaines,Cible les startups,C
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le STOXX Europe 600 couvre :,600 entreprises africaines,600 grandes entreprises européennes,Des obligations corporate,Le secteur minier,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le S&P 500 est un indice :,À pondération égale,Pondéré par la capitalisation boursière,Basé sur les dividendes,Réservé aux banques,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le MSCI Emerging Markets suit :,Les pays du G7,Les marchés développés,"Les économies émergentes (Chine, Brésil, Inde...)",Les crypto-monnaies,C
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le CAC 40 est révisé :,Tous les 10 ans,Trimestriellement,Jamais,Uniquement en crise,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le S&P 500 exclut :,Les entreprises non rentables,Les critères de liquidité et de capitalisation,Les sociétés technologiques,Les multinationales,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Un ETF sur le MSCI World permet :,D'investir dans une seule action,De répliquer la performance des marchés développés,De spéculer sur les devises,D'acheter de l'or,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le DAX inclut :,Uniquement des banques,Des entreprises comme SAP et Siemens,Des startups,Des États,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le FTSE 100 est dominé par :,Le secteur technologique,L'énergie et la finance,L'agriculture,Le tourisme,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le NASDAQ est connu pour :,Ses règles strictes de dividende,Être un marché électronique,N'avoir que des entreprises européennes,Son indice fixe,B
🏦 Investissement & Bourse,Indices boursiers mondiaux,Le TOPIX est l'indice de référence :,De la Corée du Sud,Du Japon (hors Nikkei 225),De l'Australie,De la Chine,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Qu'est-ce que le DCA ?,Investir tout d’un coup,Investir une somme fixe à intervalles réguliers,Spéculer sur des actions volatiles,Acheter uniquement en baisse,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le principal avantage du DCA est :,Maximiser les gains rapides,Éviter l’impôt,Réduire l’impact de la volatilité,Augmenter la fréquence des achats,C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA est particulièrement utile dans :,Des marchés très volatils,Des marchés stables,Des obligations uniquement,Des actions à dividendes,A
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),"Avec le DCA, vous achetez plus d’actions quand :",Le prix augmente,Le prix baisse,Vous changez de stratégie,L’entreprise verse un dividende,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA permet de lisser :,Les impôts,Les frais de transaction,Le prix d’achat moyen,Les dividendes,C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA est le contraire de :,Buy and Hold,Market Timing,Diversification,ETF,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Quel type d’investisseur préfère souvent le DCA ?,Day Trader,Investisseur long terme prudent,Spéculateur,Investisseur immobilier,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA peut être automatisé via :,Ordres programmés mensuels,Ordres à seuil,Vente à découvert,Obligations convertibles,A
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA fonctionne mieux sur :,Un actif volatil mais croissant,Un actif stable,Une obligation d’État,Une action en chute libre permanente,A
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Quel est le principal inconvénient du DCA ?,Il augmente la volatilité,Il réduit les dividendes,Il peut réduire les gains en marché haussier,Il est interdit dans les PEA,C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA est moins pertinent si :,L’actif est très risqué,Le marché est haussier en continu,L’investisseur est jeune,On utilise des ETF,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),DCA signifie :,Daily Capital Allocation,Dynamique de Croissance Active,Dollar Cost Averaging,"Dividendes, Croissance, Argent",C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA est une stratégie basée sur :,La spéculation rapide,L’achat progressif,La vente massive,La fiscalité,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Quand arrêter le DCA ?,Jamais,Quand l’objectif est atteint,Au bout d’un an,En cas de krach uniquement,B
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA peut se faire sur :,Des actions uniquement,Des ETF uniquement,Divers types d’actifs,Des cryptos uniquement,C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA est souvent comparé à :,La vente à découvert,Le swing trading,L’investissement régulier,Le day trading,C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA aide à éviter :,Les pertes,La spéculation,Les achats impulsifs,Les dividendes,C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA ne garantit pas :,Un rendement positif,Une diversification,Une stabilité,Un dividende,A
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA est efficace sur quelle durée ?,Quelques jours,Quelques semaines,Plusieurs années,Quelques heures,C
💼 Stratégies d’investissement,DCA (Dollar Cost Averaging),Le DCA nécessite :,Un gros capital initial,Une stratégie active,Une discipline d’investissement,Une formation en finance,C
💼 Stratégies d’investissement,Buy & Hold,La stratégie 'Buy & Hold' consiste à :,Acheter et vendre souvent,Acheter et conserver à long terme,Vendre dès la baisse,Acheter à crédit,B
💼 Stratégies d’investissement,Buy & Hold,Le principal avantage du 'Buy & Hold' est :,Les frais élevés,La fiscalité avantageuse,La simplicité et la croissance long terme,L’effet de levier,C
💼 Stratégies d’investissement,Buy & Hold,Quelle est la durée typique d’un 'Buy & Hold' ?,Quelques jours,Quelques semaines,Plusieurs années,Quelques minutes,C
💼 Stratégies d’investissement,Buy & Hold,Buy & Hold' réduit :,Le risque de marché,Les frais de transaction,Les dividendes,La diversification,B
💼 Stratégies d’investissement,Buy & Hold,Le Buy & Hold repose sur :,Le market timing,La spéculation,La patience,La rotation sectorielle,C
💼 Stratégies d’investissement,Buy & Hold,Cette stratégie est adaptée à :,Des investisseurs long terme,Des traders journaliers,Des hedge funds,Des courtiers,A
💼 Stratégies d’investissement,Buy & Hold,Le principal risque est :,Les dividendes,Les hausses rapides,Les fortes baisses prolongées,L’absence de liquidité,C
💼 Stratégies d’investissement,Buy & Hold,L’analyse fondamentale est utile pour :,Identifier des titres à conserver longtemps,Faire du scalping,Éviter les dividendes,Analyser le RSI,A
💼 Stratégies d’investissement,Buy & Hold,Buy & Hold' fonctionne particulièrement bien sur :,Les cryptomonnaies,Les actions à forte croissance,Les produits dérivés,Les obligations court terme,B
💼 Stratégies d’investissement,Buy & Hold,La diversification est recommandée pour :,Réduire les frais,Réduire les risques,Maximiser les dividendes,Éviter les PEA,B
💼 Stratégies d’investissement,Buy & Hold,Buy & Hold' est inefficace si :,Le marché est haussier,L’investisseur est patient,L’entreprise est en déclin structurel,Les dividendes sont faibles,C
💼 Stratégies d’investissement,Buy & Hold,Les dividendes renforcent :,La volatilité,La performance globale à long terme,Les frais,Le timing,B
💼 Stratégies d’investissement,Buy & Hold,Quand vendre en stratégie Buy & Hold ?,Jamais,Quand l’entreprise ne respecte plus les critères fondamentaux,Tous les mois,Quand le PER est bas,B
💼 Stratégies d’investissement,Buy & Hold,Buy & Hold' limite :,Les coûts de trading,La performance,Les dividendes,L’effet boule de neige,A
💼 Stratégies d’investissement,Buy & Hold,Un bon exemple de stratégie Buy & Hold est :,Acheter et vendre Amazon chaque mois,Conserver LVMH ou Apple pendant 10 ans,Spéculer sur des biotech,Acheter l’or physique,B
